Name,Team,G,PA,HR,R,RBI,SB,BBr,Kr,ISO,BABIP,AVG,OBP,SLG,wOBA,wRCp,BsR,Off,Def,WAR,playerid
Odubel Herrera,Phillies,147,537,8,64,41,16,5.20%,24.00%,0.121,0.387,0.297,0.344,0.418,0.333,110,2.1,8.3,11.7,3.9,11476
Michael Brantley,Indians,137,596,15,68,84,15,10.10%,8.60%,0.17,0.318,0.31,0.379,0.48,0.368,135,1.4,25.8,-9.1,3.8,4106
Kole Calhoun,Angels,159,686,26,78,83,4,6.60%,23.90%,0.167,0.304,0.256,0.308,0.422,0.317,105,3.1,6.9,6.6,3.8,11200
Francisco Cervelli,Pirates,130,510,7,56,43,1,9.00%,18.40%,0.106,0.359,0.295,0.37,0.401,0.341,119,-0.7,10.7,9.3,3.8,5275
Mike Moustakas,Royals,147,614,22,73,82,1,7.00%,12.40%,0.186,0.294,0.284,0.348,0.47,0.353,124,-5.4,11.5,3.7,3.8,4892
David Peralta,Diamondbacks,149,517,17,61,78,9,8.50%,20.70%,0.21,0.368,0.312,0.371,0.522,0.38,138,3.7,26.7,-7.7,3.7,2136
Adam Jones,Orioles,137,581,27,74,82,3,4.10%,17.60%,0.205,0.286,0.269,0.308,0.474,0.334,109,0.3,6.4,8.8,3.6,6368
Adam Eaton,White Sox,153,689,14,98,56,18,8.40%,19.00%,0.144,0.345,0.287,0.361,0.431,0.346,118,5.5,20.2,-8.8,3.6,11205
Starling Marte,Pirates,153,633,19,84,81,30,4.30%,19.40%,0.157,0.333,0.287,0.337,0.444,0.337,117,-1.2,11.3,2.8,3.6,9241
Justin Upton,Padres,150,620,26,85,81,19,11.00%,25.60%,0.203,0.304,0.251,0.336,0.454,0.34,120,4.6,18.8,-4.6,3.6,5222
Eric Hosmer,Royals,158,667,18,98,93,7,9.10%,16.20%,0.162,0.336,0.297,0.363,0.459,0.355,125,3.1,22.1,-11,3.5,3516
Shin-Soo Choo,Rangers,149,653,22,94,82,4,11.60%,22.50%,0.187,0.335,0.276,0.375,0.463,0.365,127,1.7,22.1,-10.5,3.5,3174
Russell Martin,Blue Jays,129,507,23,76,77,4,10.50%,20.90%,0.218,0.262,0.24,0.329,0.458,0.34,114,-4.6,3.7,12.2,3.5,4616
Brian Dozier,Twins,157,704,28,101,77,12,8.70%,21.00%,0.209,0.261,0.236,0.307,0.444,0.323,103,3.1,5.4,3.7,3.4,9810
Ender Inciarte,Diamondbacks,132,561,6,73,45,21,4.60%,10.30%,0.105,0.329,0.303,0.338,0.408,0.325,100,3.3,3.6,10,3.3,4922
Chris Coghlan,Cubs,148,503,16,64,41,11,11.50%,18.70%,0.193,0.284,0.25,0.341,0.443,0.337,113,3.2,10.9,4.2,3.3,6878
Andrelton Simmons,Braves,147,583,4,60,44,5,6.70%,8.20%,0.073,0.285,0.265,0.321,0.338,0.29,82,0.6,-11.7,23.9,3.2,10847
Dexter Fowler,Cubs,156,690,17,102,46,20,12.20%,22.30%,0.161,0.308,0.25,0.346,0.411,0.333,110,0.2,8.1,0.6,3.2,4062
Martin Prado,Marlins,129,551,9,52,63,1,6.70%,12.30%,0.106,0.313,0.288,0.338,0.394,0.318,100,0.1,-0.1,12.5,3.1,3312
Didi Gregorius,Yankees,155,578,9,57,56,5,5.70%,14.70%,0.105,0.297,0.265,0.318,0.37,0.303,89,3.5,-4.1,14.2,3.1,6012
Lucas Duda,Mets,135,554,27,67,73,0,11.90%,24.90%,0.242,0.285,0.244,0.352,0.486,0.359,133,0.1,21.5,-10,3.1,2502
Adrian Gonzalez,Dodgers,156,643,28,76,90,0,9.60%,16.60%,0.205,0.294,0.275,0.35,0.48,0.354,129,-5.6,15.9,-7.5,3,1908
Jose Abreu,White Sox,154,668,30,88,101,0,5.80%,21.00%,0.212,0.333,0.29,0.347,0.502,0.361,129,-1,21.1,-14.8,3,15676
Josh Reddick,Athletics,149,582,20,67,77,10,8.40%,11.20%,0.177,0.278,0.272,0.333,0.449,0.338,117,5.1,16.6,-8,3,3892
Addison Russell,Cubs,142,523,13,60,54,4,8.00%,28.50%,0.147,0.324,0.242,0.307,0.389,0.304,90,0.4,-5.7,17.1,2.9,14106
Brian McCann,Yankees,135,535,26,68,94,0,9.70%,18.10%,0.204,0.235,0.232,0.32,0.437,0.327,105,-3.2,-0.1,10.2,2.9,4810
Ryan Braun,Brewers,140,568,25,87,84,24,9.50%,20.20%,0.213,0.322,0.285,0.356,0.498,0.366,129,1.9,21.2,-12.2,2.8,3410
Joc Pederson,Dodgers,151,585,26,67,54,4,15.70%,29.10%,0.206,0.262,0.21,0.346,0.417,0.335,115,-0.1,10.3,-1.8,2.8,11899
David Ortiz,Red Sox,146,614,37,73,108,0,12.50%,15.50%,0.28,0.264,0.273,0.36,0.553,0.379,138,-5.2,21.6,-15.2,2.8,745
Alex Rodriguez,Yankees,151,620,33,83,86,4,13.50%,23.40%,0.235,0.278,0.25,0.356,0.486,0.361,129,-0.6,20,-15.2,2.7,1274
Brandon Phillips,Reds,148,623,12,69,70,23,4.30%,10.90%,0.1,0.315,0.294,0.328,0.395,0.315,96,4,1,4.1,2.6,791
Brett Gardner,Yankees,151,656,16,94,66,20,10.40%,20.60%,0.14,0.312,0.259,0.343,0.399,0.327,105,5.5,9.5,-7,2.6,9927
Daniel Murphy,Mets,130,538,14,56,73,2,5.80%,7.10%,0.168,0.278,0.281,0.322,0.449,0.325,110,-0.3,5.9,1,2.5,4316
Trevor Plouffe,Twins,152,632,22,74,86,2,7.90%,19.60%,0.19,0.274,0.244,0.307,0.435,0.321,102,-1.9,-0.7,3.5,2.5,7462
Derek Norris,Padres,147,557,14,65,62,4,6.30%,23.50%,0.153,0.31,0.25,0.305,0.404,0.309,98,-0.9,-2,7.7,2.4,6867
Neil Walker,Pirates,151,603,16,69,71,4,7.30%,18.20%,0.158,0.306,0.269,0.328,0.427,0.325,108,2.7,8.6,-4.7,2.4,7539
Brock Holt,Red Sox,129,509,2,56,45,8,9.00%,19.10%,0.099,0.35,0.28,0.349,0.379,0.322,98,4.3,3.2,2.5,2.4,9345
Carlos Santana,Indians,154,666,19,72,85,11,16.20%,18.30%,0.164,0.261,0.231,0.357,0.395,0.331,110,1.3,8.7,-8.3,2.4,2396
Carlos Gonzalez,Rockies,153,608,40,87,97,2,7.60%,21.90%,0.269,0.284,0.271,0.325,0.54,0.364,114,1.3,11.3,-8.1,2.4,7287
Billy Burns,Athletics,125,555,5,70,42,26,4.70%,14.60%,0.098,0.339,0.294,0.334,0.392,0.317,102,5.6,7.1,-3.4,2.3,12701
Austin Jackson,- - -,136,527,9,56,48,17,5.50%,23.90%,0.118,0.342,0.267,0.311,0.385,0.305,94,0,-3.4,8.3,2.3,9848
Troy Tulowitzki,- - -,128,534,17,77,70,1,7.10%,21.30%,0.16,0.331,0.28,0.337,0.44,0.335,100,-4,-4,9.1,2.3,3531
Kolten Wong,Cardinals,150,613,11,71,61,15,5.90%,15.50%,0.124,0.296,0.262,0.321,0.386,0.31,96,3.2,0.2,2.6,2.3,12532
Stephen Vogt,Athletics,136,511,18,58,71,0,11.00%,19.00%,0.182,0.29,0.261,0.341,0.443,0.335,115,-4.4,4.4,0.4,2.3,5000
Gregory Polanco,Pirates,153,652,9,83,52,27,8.40%,18.60%,0.125,0.308,0.256,0.32,0.381,0.304,94,5.3,1,0.3,2.3,12907
Christian Yelich,Marlins,126,525,7,63,44,16,9.00%,19.20%,0.116,0.37,0.3,0.366,0.416,0.343,117,1.9,12.3,-7.3,2.3,11477
Asdrubal Cabrera,Rays,143,551,15,66,58,6,6.50%,19.40%,0.164,0.306,0.265,0.315,0.43,0.319,104,0.5,3.3,-0.5,2.2,4962
Adam Lind,Brewers,149,572,20,72,87,0,11.50%,17.50%,0.183,0.309,0.277,0.36,0.46,0.351,119,-3.1,9.3,-6.3,2.2,8027
Mitch Moreland,Rangers,132,515,23,51,85,1,6.20%,21.70%,0.204,0.317,0.278,0.33,0.482,0.348,115,-0.7,8.2,-4.9,2.1,3086
Robinson Cano,Mariners,156,674,21,82,79,2,6.40%,15.90%,0.159,0.316,0.287,0.334,0.446,0.335,116,-8.5,4.1,-6.3,2.1,3269
Charlie Blackmon,Rockies,157,682,17,93,58,43,6.70%,16.40%,0.163,0.325,0.287,0.347,0.45,0.345,101,3.2,4.3,-5.7,2.1,7859
Yunel Escobar,Nationals,139,591,9,75,56,2,7.60%,11.80%,0.101,0.347,0.314,0.375,0.415,0.348,120,-6.4,7.4,-6.1,2.1,4191
Kendrys Morales,Royals,158,639,22,81,106,0,9.10%,16.10%,0.195,0.319,0.29,0.362,0.485,0.364,131,-8.2,14.7,-16.2,2.1,8610
